Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Debt/Equity,ROE,Price
Li Auto, 23384, -1, 3.61,3.60,72.38,2.56,-1,0.92,-4.50,114.2
NIO, 13755, -1,3.98,1.95,-1,1.48,-1,3,-59.93,61.8
Xpeng, 8973,-1,1.69,2.33,-1,1.54,-1,0.94,-24.76,35.55
Guangzhou Automobile Group Co.,6396.6597,6.64,0.36,0.39,-3.76,0.18,3.29,0.59,5.14,4.74
