Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Debt/Equity,ROE,Price
BYD Company Limited,87149.8873,30.37,4.76,1.27,22.60,1.18,21.21,3.34,16.65,244.0
Li Auto, 23384, -1, 3.61,3.60,72.38,2.56,-1,0.92,-4.50,114.2
NIO, 13755, -1,3.98,1.95,-1,1.48,-1,3,-59.93,61.8
Xpeng, 8973,-1,1.69,2.33,-1,1.54,-1,0.94,-24.76,35.55
Yadea Group Holdings Ltd,6624.4105,21.55,7.01,1.50,19.29,1.20,13.96,2.76,32.86,16.86
Guangzhou Automobile Group Co.,6396.6597,6.64,0.36,0.39,-3.76,0.18,3.29,0.59,5.14,4.74
"Dongfeng Motor Group Company ",4092.3125,2.80,0.17,0.31,-16.33,-0.10,-1.01,0.99,5.63,3.62
